"No.","Time","Source","Destination","Protocol","Length","Info"
"3686","2.561295","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3561240 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3687","2.561297","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3562440 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3688","2.561298","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3563640 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3689","2.561298","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3564840 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3690","2.561299","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3566040 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3691","2.561300","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3567240 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3692","2.561301","128.135.24.73","10.190.102.251","TLSv1.2","867","Application Data"
"3693","2.561302","128.135.24.73","10.190.102.251","TLSv1.2","247","Application Data"
"3694","2.561303","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3569446 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3695","2.561304","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3570646 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3696","2.561304","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3571846 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3697","2.561305","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3573046 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3698","2.561306","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3574246 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3699","2.561307","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3575446 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3700","2.561308","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3576646 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3701","2.561309","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3577846 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3702","2.561310","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3579046 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3703","2.561311","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3580246 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3704","2.561312","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3581446 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3705]"
"3705","2.561314","128.135.24.73","10.190.102.251","TLSv1.2","951","Application Data"
"3706","2.561315","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3583543 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3707","2.561830","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3584743 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3708","2.561831","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3585943 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3709","2.561832","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3587143 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3710","2.561834","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3588343 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3711","2.561835","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3589543 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3712","2.561837","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3590743 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3713","2.561838","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3591943 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3714","2.561839","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3593143 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3715","2.561841","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3594343 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3716","2.561842","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3595543 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3717","2.561843","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3596743 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3718","2.561844","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3597943 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3719]"
"3719","2.561846","128.135.24.73","10.190.102.251","TLSv1.2","867","Application Data"
"3720","2.561847","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3599956 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3721","2.561848","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3601156 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3722","2.561849","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3602356 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3723","2.561850","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3603556 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3724","2.561851","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3604756 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3725","2.561852","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3605956 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3726","2.561853","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3607156 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3727","2.561854","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3608356 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3728","2.561855","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3609556 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3729","2.561856","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3610756 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3730","2.561880","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=265734 Ack=3584743 Win=4194240 Len=0"
"3731","2.562160","10.190.102.251","128.135.24.73","TCP","54","59655  >  443 [ACK] Seq=265734 Ack=3611956 Win=4194240 Len=0"
"3732","2.563059","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=265734 Ack=3611956 Win=4194240 Len=1200 [TCP PDU reassembled in 3734]"
"3733","2.563059","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=266934 Ack=3611956 Win=4194240 Len=1200 [TCP PDU reassembled in 3734]"
"3734","2.563069","10.190.102.251","128.135.24.73","TLSv1.2","863","Application Data"
"3735","2.563213","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3611956 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3736","2.563214","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3613156 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3737","2.563216","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3614356 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3738]"
"3738","2.563217","128.135.24.73","10.190.102.251","TLSv1.2","867","Application Data"
"3739","2.563218","128.135.24.73","10.190.102.251","TLSv1.2","247","Application Data"
"3740","2.563219","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3616562 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3747]"
"3741","2.563221","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3617762 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3747]"
"3742","2.563222","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3618962 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3747]"
"3743","2.563224","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3620162 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3747]"
"3744","2.563225","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3621362 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3747]"
"3745","2.563226","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3622562 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3747]"
"3746","2.563227","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3623762 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3747]"
"3747","2.563229","128.135.24.73","10.190.102.251","TLSv1.2","365","Application Data"
"3748","2.563319","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=268943 Ack=3625273 Win=4180928 Len=1200 [TCP PDU reassembled in 3750]"
"3749","2.563320","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=270143 Ack=3625273 Win=4180928 Len=1200 [TCP PDU reassembled in 3750]"
"3750","2.563325","10.190.102.251","128.135.24.73","TLSv1.2","890","Application Data"
"3751","2.563336","10.190.102.251","128.135.24.73","TCP","54","[TCP Window Update] 59655  >  443 [ACK] Seq=272179 Ack=3625273 Win=4194240 Len=0"
"3752","2.563863","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=272179 Ack=3625273 Win=4194240 Len=1200 [TCP PDU reassembled in 3754]"
"3753","2.563864","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=273379 Ack=3625273 Win=4194240 Len=1200 [TCP PDU reassembled in 3754]"
"3754","2.563867","10.190.102.251","128.135.24.73","TLSv1.2","877","Application Data"
"3755","2.565415","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=275402 Ack=3625273 Win=4194240 Len=1200 [TCP PDU reassembled in 3757]"
"3756","2.565415","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=276602 Ack=3625273 Win=4194240 Len=1200 [TCP PDU reassembled in 3757]"
"3757","2.565423","10.190.102.251","128.135.24.73","TLSv1.2","820","Application Data"
"3758","2.656229","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3625273 Ack=261647 Win=528128 Len=0"
"3759","2.656231","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3625273 Ack=264875 Win=535296 Len=0"
"3760","2.657651","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3625273 Ack=265734 Win=537728 Len=1200 [TCP PDU reassembled in 3773]"
"3761","2.657653","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3626473 Ack=265734 Win=537728 Len=1200 [TCP PDU reassembled in 3773]"
"3762","2.657654","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3627673 Ack=265734 Win=537728 Len=1200 [TCP PDU reassembled in 3773]"
